"Date"	"Value"	"Stock_Value"	"Capital_Value"	"Stock_ratio"
"103"	2017-08-31 15:49:00	10000	0	10000	0
"104"	2017-08-31 15:50:00	10000	0	10000	0
"105"	2017-08-31 15:51:00	10000	0	10000	0
"106"	2017-08-31 15:52:00	10000	0	10000	0
"107"	2017-08-31 15:53:00	10000	0	10000	0
"108"	2017-08-31 15:54:00	10000	0	10000	0
"109"	2017-08-31 15:55:00	10000	0	10000	0
"110"	2017-08-31 15:56:00	10000	0	10000	0
"111"	2017-08-31 15:57:00	10000	0	10000	0
"112"	2017-08-31 15:58:00	10000	0	10000	0
"113"	2017-08-31 15:59:00	10000	0	10000	0
